#{"t_start": 1765055502.0717697, "env_id": "None"}
r,l,t
119173.380329,90,1.002588
67317.524714,90,1.05072
162720.919044,90,1.100717
100243.002716,90,1.1493
128165.979355,90,1.199039
255416.472584,90,1.25761
63437.741104,90,1.352507
233468.831385,90,1.432988
224119.670219,90,1.524081
53126.731833,90,1.609841
91155.818771,90,1.694174
108401.845818,90,1.777173
110768.917297,90,1.867847
100049.003838,90,1.954065
67425.315125,90,2.041638
80166.001292,90,2.119697
97849.46587,90,2.21039
135346.119476,90,2.288153
118056.567467,90,2.370274
199075.83703,90,2.44804
206860.448531,90,2.536117
278765.194285,90,2.61806
105988.946167,90,2.700701
219263.721436,90,2.783168
205198.832161,90,2.86838
137389.315346,90,2.956147
228612.929047,90,3.042432
158104.418356,90,3.130682
138126.069031,90,3.223653
96742.775629,90,3.308976
21861.70158,90,3.399937
341691.256729,90,3.484596
8297.46524,90,3.57396
-8483.004593,90,3.654215
220442.687286,90,3.743055
123530.428535,90,3.825267
75969.74437,90,3.916841
244403.727295,90,4.002781
208868.139647,90,4.092344
195385.414753,90,4.175283
317122.503174,90,4.262333
-35423.755814,90,4.348309
-78961.32338,90,4.432038
157728.593531,90,4.510381
267493.808365,90,4.603087
176093.339737,90,4.684304
249247.654381,90,4.769392
311475.635361,90,4.855875
229072.332008,90,4.946768
144384.621618,90,5.024823
79440.486824,90,5.109782
73330.546545,90,5.186488
272589.081854,90,5.272917
199993.274582,90,5.363847
281234.646797,90,5.448205
163655.128067,90,5.53715
259669.531559,90,5.627784
306166.008747,90,5.713073
-70423.894497,90,5.803706
158899.225727,90,5.89091
140460.19194,90,5.987045
143473.427444,90,6.069122
145630.633835,90,6.153727
225167.0697,90,6.238161
274914.321617,90,6.398423
131792.420366,90,6.483112
162219.256264,90,6.574155
83073.864536,90,6.665767
266384.151529,90,6.755198
444838.702656,90,6.845103
382237.619949,90,6.938368
251709.495045,90,7.03133
237799.766693,90,7.128043
332801.599678,90,7.213344
276644.709488,90,7.307756
350708.349411,90,7.394981
218247.079945,90,7.488534
207576.211655,90,7.56997
173070.811069,90,7.659375
4607.857132,90,7.738208
213840.477928,90,7.833642
175825.313736,90,7.925655
295356.168594,90,8.017352
242613.915848,90,8.103414
207892.925713,90,8.197367
297398.611443,90,8.286014
287857.334229,90,8.375878
245920.231323,90,8.46011
175617.126591,90,8.551843
249872.90185,90,8.645334
365430.873506,90,8.736777
315808.927059,90,8.817075
168159.227173,90,8.907427
345524.657345,90,8.99639
188917.160187,90,9.090362
201932.693352,90,9.178909
386178.125961,90,9.271221
194190.249954,90,9.35822
219140.58432,90,9.448806
242334.590157,90,9.532602
385218.444695,90,9.629423
272508.11797,90,9.715145
448380.055313,90,9.81895
300985.146271,90,9.900146
337397.954842,90,9.989447
274247.16642,90,10.081115
203118.262604,90,10.174174
331535.468135,90,10.265294
226274.631512,90,10.36169
232916.389299,90,10.444025
336177.109512,90,10.53709
122768.108612,90,10.804455
239617.40126,90,10.895872
210692.881149,90,10.986913
253448.766113,90,11.077368
272720.697418,90,11.161886
404509.176991,90,11.262088
375712.468063,90,11.351723
318235.580963,90,11.444609
215657.737473,90,11.54211
241216.811642,90,11.638879
89352.678629,90,11.723755
432693.878281,90,11.815536
273578.077782,90,11.898014
232771.282532,90,12.000444
151547.436308,90,12.090709
324431.710915,90,12.187068
232830.131363,90,12.281827
305793.52446,90,12.372311
362986.818584,90,12.464653
335090.58812,90,12.560018
339555.943573,90,12.653693
342642.890179,90,12.750811
219879.164068,90,12.840834
324939.605988,90,12.939355
324646.532139,90,13.035333
134987.675343,90,13.127968
167776.145134,90,13.215838
244938.732021,90,13.303228
213278.506241,90,13.38842
240422.833912,90,13.480813
371907.545303,90,13.577245
300189.257075,90,13.674122
419266.009727,90,13.76815
214630.331167,90,13.866319
222051.1548,90,13.961797
181519.269775,90,14.049872
312778.102619,90,14.140933
229335.381119,90,14.24374
377782.773346,90,14.341433
260942.386078,90,14.436666
138236.938068,90,14.523499
386363.721077,90,14.622151
265418.785507,90,14.715899
339661.496634,90,14.810872
287624.498409,90,14.900615
130380.682961,90,14.999164
253947.192421,90,15.099589
269446.536186,90,15.195677
370248.467697,90,15.283415
348361.224927,90,15.384581
148402.778448,90,15.474407
328657.221661,90,15.578345
264102.091589,90,15.668638
277002.580063,90,15.771009
281362.691086,90,15.867469
222606.370789,90,15.968656
165829.196024,90,16.055228
246805.184181,90,16.154857
362644.607264,90,16.30189
320108.515301,90,16.394763
252615.608349,90,16.4884
242163.360596,90,16.587985
88457.156967,90,16.678875
228636.833817,90,16.781039
264086.595676,90,16.876092
408335.18499,90,16.971676
342073.88517,90,17.06584
350542.675354,90,17.18154
153574.591366,90,17.276313
341731.099356,90,17.378728
311837.135689,90,17.472877
271511.253918,90,17.574931
223744.906219,90,17.677588
391575.091103,90,17.775287
398369.459351,90,17.862724
384321.939697,90,17.974119
327184.969553,90,18.062181
292067.022263,90,18.170079
364181.8936,90,18.258232
289259.168049,90,18.358779
262488.937624,90,18.454712
330643.575317,90,18.5472
279475.729614,90,18.637894
241667.232885,90,18.732259
262501.362076,90,18.828463
314051.644695,90,18.927846
225699.845726,90,19.013019
292622.090477,90,19.106692
266744.578569,90,19.201669
330982.323563,90,19.303858
301607.239803,90,19.395128
229837.675858,90,19.491518
247935.575871,90,19.581861
277199.506531,90,19.690437
228414.180328,90,19.779829
189583.777391,90,19.882623
168093.969423,90,19.978243
251041.598465,90,20.076818
284586.198006,90,20.162205
236760.058857,90,20.262015
179816.170372,90,20.35674
409480.232838,90,20.461352
209054.861061,90,20.553396
280650.505543,90,20.646034
294487.148912,90,20.739586
441770.065445,90,20.845366
338174.427606,90,20.939141
283682.78575,90,21.037487
237400.540863,90,21.126885
289782.007851,90,21.232677
311787.684977,90,21.331087
328769.051559,90,21.596743
316501.866699,90,21.699118
380336.821732,90,21.800285
142971.469597,90,21.891814
299853.8036,90,21.98706
178024.732437,90,22.087506
75289.659412,90,22.20108
280434.280106,90,22.298317
308409.30917,90,22.403553
341921.122257,90,22.496528
274639.56015,90,22.594847
210350.609451,90,22.694924
248143.197983,90,22.794549
280842.733727,90,22.904897
345797.419144,90,23.014714
354889.64637,90,23.106193
364591.440281,90,23.206342
246746.851059,90,23.305107
249797.95504,90,23.430066
289903.443909,90,23.551595
399559.84053,90,23.653189
330880.855755,90,23.754544
343628.539139,90,23.86246
350691.242645,90,23.958422
387166.700848,90,24.056005
107313.889297,90,24.158985
360140.55864,90,24.256124
342483.294281,90,24.347869
331874.436333,90,24.444226
212170.126236,90,24.535866
311806.68457,90,24.633145
183835.605858,90,24.73512
128068.609161,90,24.835626
336354.750427,90,24.935074
237871.964012,90,25.03916
259848.01239,90,25.144501
287170.871811,90,25.245982
300368.810852,90,25.342791
179532.27507,90,25.44054
251159.019211,90,25.542908
388475.1884,90,25.64763
224940.016724,90,25.745945
148609.68041,90,25.840427
158771.300272,90,25.94347
160607.748974,90,26.050905
262997.054714,90,26.14957
274175.751806,90,26.25
166854.598755,90,26.409686
346432.689945,90,26.529091
153517.649879,90,26.62591
57424.518562,90,26.73959
260409.693649,90,26.843111
329293.276672,90,26.950919
306079.487949,90,27.048107
205772.463862,90,27.150414
226444.744049,90,27.248696
389100.257591,90,27.352484
98652.730808,90,27.458664
388130.82106,90,27.565937
294593.990051,90,27.660864
180359.790649,90,27.770036
428310.75013,90,27.877723
297095.175133,90,27.991709
194629.94632,90,28.095156
351186.033834,90,28.205444
320094.581726,90,28.298596
237532.355209,90,28.403952
122966.172375,90,28.495855
313301.249695,90,28.590914
163336.024139,90,28.687845
99097.494556,90,28.787251
236102.341713,90,28.881541
265376.484741,90,28.989896
146610.707077,90,29.082375
306053.320282,90,29.189107
317746.699905,90,29.291783
243804.564941,90,29.400171
202425.286711,90,29.500574
115515.469875,90,29.61407
-11547.197978,90,29.722049
73664.823929,90,29.827802
178803.938946,90,29.928769
-551.303701,90,30.04231
153497.371658,90,30.141813
227484.356586,90,30.241639
96739.683735,90,30.339607
119313.689133,90,30.456999
191220.731812,90,30.560576
212319.043163,90,30.661156
361401.406387,90,30.761757
41147.697682,90,30.872834
206922.411053,90,30.972069
186825.407322,90,31.075893
155210.63245,90,31.186295
128191.129875,90,31.293595
42878.075432,90,31.403327
107162.311218,90,31.507211
103562.992302,90,31.606118
5929.112198,90,31.706852
197780.130264,90,31.807928
183457.216937,90,31.914672
277336.750137,90,32.01521
154467.60775,90,32.126455
96419.954761,90,32.227634
46044.182932,90,32.335713
85638.477154,90,32.441817
251196.565666,90,32.552404
-29925.5135,90,32.65556
34100.431019,90,32.765644
318186.281357,90,32.879388
218114.664122,90,32.995126
140077.818911,90,33.270303
69979.084538,90,33.371331
263812.390495,90,33.467695
154969.009048,90,33.569631
59691.572407,90,33.676741
144644.783609,90,33.789793
68184.622917,90,33.890065
1159.265564,90,34.006212
111468.97345,90,34.10515
152946.523114,90,34.206299
31960.595394,90,34.313055
214843.522274,90,34.42945
103761.283245,90,34.530489
124853.992538,90,34.63797
-49922.262436,90,34.737484
2904.329529,90,34.848259
130637.47316,90,34.953476
62440.573643,90,35.054691
97679.506592,90,35.157384
219770.13217,90,35.269899
220239.659512,90,35.370352
299149.389687,90,35.479919
99286.306316,90,35.583616
32492.910561,90,35.685513
100875.346195,90,35.786058
205403.647064,90,35.903399
79586.918571,90,36.005473
110841.011605,90,36.11962
-73501.670937,90,36.283353
